home_name,link_name,type
Johnson & Johnson,Delta Air Lines,investment
Johnson & Johnson,AMD,investment
Johnson & Johnson,Google,investment
NetApp,Oracle,customer
MGM,Oracle,customer
Workday,Carrefour,customer
Google,Oracle,customer
ADB,Oracle,competitor
JBL,Oracle,customer
JBL,Intel,customer
JBL,Google,customer
JBL,Intel,partnership
JBL,Microsoft,partnership
JBL,Dell,investment
JBL,Pfizer,investment
Juniper Networks,Equifax,customer
Cisco,Walmart,partnership
Cisco,Autodesk,investment
Qualcomm,Intel,partnership
Oracle,Adobe,customer
Cisco,General Mills,investment
Adobe,Microsoft,competitor
Adobe,Google,partnership
Google,AMD,partnership
Google,Facebook,customer
Google,Facebook,partnership
Akamai,Google,customer
Facebook,Dell,partnership
Facebook,Intel,competitor
Facebook,Qualcomm,partnership
Facebook,Google,customer
Facebook,Google,investment
IBM,Advanta,customer
Facebook,IBM,customer
Autodesk,Trimble,customer
Autodesk,IBM,partnership
aee,Exelon,competitor
aee,CAE,customer
Emerson,First Solar,customer
UPS,NetApp,customer
Qiagen,UPS,customer
Intel,IBM,customer
Intel,Akamai,partnership
Intel,International Flavors & Fragrances Inc,investment
F5 Networks,Microsoft,customer
First Solar,F5 Networks,customer
First Solar,Accenture,partnership
First Solar,Telstra,partnership
Oracle,ConocoPhillips,investment
Oracle,Duke Energy,investment
Microsoft,Google,customer
Google,Facebook,competitor
Cisco,Google,customer
Cisco,Walgreens,partnership
Oracle,Walmart,investment
Oracle,Tesco,investment
Oracle,Carrefour,investment
Microsoft,CBRE,customer
Accenture,Microsoft,customer
Booz Allen Hamilton,Airbus,customer
Booz Allen Hamilton,Oracle,partnership
Booz Allen Hamilton,Etsy,partnership
Booz Allen Hamilton,General Mills,partnership
Lear,ADB,customer
Oracle,Lear,customer
CAE,Oracle,customer
Airbnb,eBay,investment
Akamai,Airbnb,customer
Twilio,Google,customer
Adobe,Delta Air Lines,investment
IBM,Facebook,partnership
MGM,Motorola,investment
Airbus,Microsoft,competitor
Airbus,Google,investment
Airbus,Intel,investment
IBM,Vodafone,competitor
Adobe,Microsoft,partnership
Adobe,Delta Air Lines,customer
Adobe,Facebook,partnership
Adobe,Delta Air Lines,partnership
Adobe,Autodesk,customer
Pinterest,DLT,customer
Vodafone,Accenture,customer
eBay,Walmart,investment
Vodafone,Qualcomm,partnership
Cisco,Vodafone,customer
Motorola,Cisco,customer
Motorola,Juniper Networks,investment
Motorola,Telstra,partnership
Telstra,JM Smucker,competitor
Telstra,Motorola,competitor
Facebook,IBM,investment
Facebook,Starbucks,investment
Facebook,Dell,investment
Facebook,Walmart,investment
Facebook,Best Buy,investment
Facebook,Viacom,partnership
Facebook,Google,partnership
Google,Lowe's,partnership
Cisco,eBay,investment
Cisco,Facebook,investment
Cisco,UPS,partnership
Microsoft,Avery Dennison,partnership
Microsoft,Oracle,partnership
Microsoft,Qualcomm,investment
Fortinet,DLT,partnership
Intel,Dell,competitor
AMD,Dell,customer
Microsoft,Google,investment
Oracle,Cisco,customer
Oracle,CBRE,investment
Oracle,EBS,investment
Qualcomm,Google,partnership
Qualcomm,Dell,competitor
Oracle,Motorola,customer
Cisco,Juniper Networks,customer
Microsoft,Vodafone,partnership
Oracle,Devon Energy,competitor
Oracle,Kinder Morgan,partnership
Oracle,ArcelorMittal,investment
Juniper Networks,Cisco,customer
Juniper Networks,Symantec,partnership
Microsoft,Fortis,customer
Intel,Altair Engineering,investment
Synopsys,Intel,customer
Intel,Microsoft,competitor
Intel,Dell,customer
Microsoft,Cisco,competitor
Microsoft,Intel,partnership
Intel,Adobe,customer
Intel,Union Pacific,investment
Google,Walmart,competitor
Google,Viacom,customer
Google,Netflix,customer
Facebook,Microsoft,competitor
Facebook,IBM,competitor
JBL,Adobe,customer
Cisco,Facebook,customer
Cisco,eBay,competitor
Cisco,MGM,customer
BorgWarner,Cisco,customer
Hologic,Emerson,customer
Intel,Hologic,customer
Intel,Vodafone,partnership
Intel,Starbucks,partnership
Intel,JBL,partnership
Intel,Cisco,partnership
Intel,Tesco,partnership
Intel,Merck,investment
Intel,Juniper Networks,investment
Intel,JBL,investment
IBM,Netflix,partnership
IBM,MGM,investment
IBM,Netflix,investment
IBM,Pfizer,investment
AMD,Intel,partnership
IBM,Cisco,customer
IBM,Pfizer,customer
IBM,Juniper Networks,investment
IBM,Dr Pepper Snapple Group,customer
IBM,Netflix,customer
IBM,Walmart,customer
IBM,eBay,investment
IBM,Cisco,competitor
IBM,Walmart,competitor
IBM,Pfizer,partnership
Ameren,Exelon,competitor
Oracle,eBay,partnership
Microsoft,Oracle,customer
Microsoft,Qualcomm,partnership
Walgreens,Facebook,competitor
Walgreens,Johnson & Johnson,competitor
Walgreens,Google,competitor
Walgreens,Facebook,customer
Interpublic Group,Facebook,investment
Adobe,Walmart,customer
Akamai,IBM,investment
Akamai,Motorola,partnership
Akamai,Delta Air Lines,partnership
Akamai,Google,partnership
Akamai,Cisco,partnership
Cisco,Tesco,investment
Facebook,Pinterest,customer
Facebook,eBay,investment
Facebook,Etsy,investment
Google,Walgreens,customer
Starbucks,Walgreens,customer
AMD,Walmart,partnership
Qualcomm,Microsoft,customer
Trimble,Dell,partnership
Facebook,Trimble,customer
Microsoft,MGM,partnership
Microsoft,Facebook,partnership
Cisco,American Water,customer
Cisco,Oracle,customer
AmerisourceBergen,Walgreens,partnership
Oracle,MGM,partnership
Walmart,West Pharmaceutical,partnership
Walmart,IBM,partnership
Walmart,Illumina,partnership
Walmart,Qiagen,partnership
Walmart,Microsoft,investment
Walmart,Gilead Sciences,investment
Walmart,Boston Scientific,investment
Walmart,Johnson & Johnson,investment
Walmart,Merck,competitor
Motorola,American Water,customer
Synopsys,Motorola,customer
Oracle,IBM,customer
Equinix,Kimberly-Clark,customer
Equinix,Accenture,customer
Equinix,IBM,customer
Equinix,Oracle,customer
Adobe,Netflix,customer
Microsoft,Adobe,customer
eBay,Cisco,partnership
Google,Accenture,customer
NetApp,Microsoft,customer
Cisco,Corning,partnership
Google,Kinder Morgan,partnership
Google,Lululemon,competitor
Google,Vodafone,investment
Google,Vertex Pharmaceuticals,investment
Facebook,Tractor Supply,partnership
ANSYS,Autodesk,partnership
Pinterest,Google,partnership
Pinterest,Best Buy,partnership
Google,Pinterest,partnership
Motorola,Walmart,partnership
Microsoft,Airbus,customer
Intel,Microsoft,customer
Intel,Google,customer
Intel,Adobe,investment
Intel,Microsoft,investment
Intel,Google,partnership
Intel,Facebook,partnership
Google,Dell,competitor
Qualcomm,Intel,competitor
Qualcomm,Adobe,competitor
Qualcomm,Intel,customer
Intel,Booz Allen Hamilton,partnership
Intel,Walgreens,investment
Intel,Facebook,investment
Cisco,Intel,competitor
Cisco,Intel,customer
Cisco,AMD,investment
Cisco,Motorola,investment
Vodafone,NetApp,customer
Vodafone,Symantec,partnership
Vodafone,Motorola,partnership
eBay,Entergy,customer
ArcelorMittal,STX,customer
ArcelorMittal,Steel Dynamics,competitor
AstraZeneca,Amgen,partnership
Motorola,Exelon,partnership
Motorola,Duke Energy,investment
Motorola,Microsoft,partnership
Motorola,Entergy,partnership
Motorola,Exelon,investment
Motorola,IBM,investment
Google,IBM,partnership
Google,Northrop Grumman,partnership
Cisco,IBM,investment
Tesco,Woolworths,investment
Tesco,Microsoft,partnership
Tesco,Symantec,partnership
Tesco,Nike,partnership
Tesco,Accenture,partnership
Tesco,Vodafone,investment
Tesco,Dell,investment
Tesco,Facebook,investment
Tesco,Google,investment
Tesco,Delphi Automotive,investment
Tesco,Nike,investment
Microsoft,Synopsys,partnership
Microsoft,Intel,investment
Intel,AMD,partnership
AMD,Synopsys,partnership
IBM,AMD,customer
Dell,IBM,customer
Dell,Google,investment
Facebook,Texas Instruments,customer
Facebook,Oracle,investment
Microsoft,Amgen,partnership
Intel,Texas Instruments,customer
Intel,Texas Instruments,partnership
Intel,Cisco,investment
Intel,Delta Air Lines,customer
Intel,Juniper Networks,partnership
Autodesk,Google,investment
JBL,Google,competitor
JBL,Autodesk,customer
JBL,Google,investment
Emerson,Google,customer
Lowe's,AstraZeneca,investment
Woolworths,Vodafone,customer
Woolworths,Tesco,investment
Woolworths,Google,customer
Facebook,Woolworths,customer
Facebook,Vodafone,partnership
Microsoft,eBay,partnership
Microsoft,Google,competitor
Microsoft,Walmart,investment
Microsoft,Walmart,competitor
ADB,Microsoft,partnership
Nike,Google,customer
ASM,Accenture,investment
Oracle,ASM,customer
Oracle,Walgreens,customer
Pinterest,Google,customer
Intel,AST,customer
IBM,Symantec,customer
IBM,Symantec,competitor
IBM,Microsoft,partnership
IBM,Best Buy,investment
Cisco,Intel,partnership
AstraZeneca,Biogen Idec,customer
AstraZeneca,Pfizer,competitor
AstraZeneca,Pfizer,investment
AstraZeneca,Pfizer,customer
AstraZeneca,Merck,competitor
Oracle,Amgen,partnership
Oracle,IBM,competitor
Facebook,Thermo Fisher Scientific,customer
Microsoft,Nike,investment
Microsoft,Cisco,investment
Juniper Networks,Starbucks,partnership
Juniper Networks,Motorola,partnership
Juniper Networks,Starbucks,customer
