employees,altman_score,piotroski_score,Decarbonization Target_Target Year,Decarbonization Target_Comprehensiveness,Decarbonization Target_Ambition p.a.,Temperature Goal,esg,environmental_metric,social_metric,governance_metric,involvement_metric
53000,2.21,5,2050,100.0,-3.57,1.6,18.2,4.84,10.86,2.01,0.04
282200,3.08,5,2030,100.0,-12.5,1.6,14.1,4.51,10.86,2.01,0.04
21000,4.17,8,2030,1.58,1.02,3.0,13.3,4.51,8.04,1.51,0.04
12300,4.82,7,2035,4.09,0.81,3.8,17.4,5.01,9.7,2.01,0.04
14900,3.47,5,2040,100.0,-5.56,1.5,23.4,4.51,9.7,2.01,0.04
415000,3.46,7,2040,100.0,-5.56,1.5,18.2,4.51,9.2,2.01,0.04
56800,1.86,7,2040,100.0,-5.26,1.5,22.2,4.51,8.7,1.84,0.04
13000,7.18,8,2030,100.0,-12.5,1.7,16.0,5.01,10.530000000000001,2.34,0.04
83700,6.0,8,2050,100.0,-3.57,1.5,18.9,4.01,11.36,2.01,0.04
11700,2.95,8,2030,3.89,0.85,2.8,21.5,4.01,7.04,2.01,0.04
50000,1.65,6,2032,100.0,-10.0,1.3,15.4,4.51,9.7,2.01,0.04
18000,2.56,7,2030,100.0,-10.2,1.3,22.4,5.01,9.36,2.01,0.04
19962,0.71,6,2050,54.0,-1.33,1.5,20.8,4.01,9.7,1.51,0.04
20300,14.5,9,2032,4.23,0.78,2.1,14.5,4.01,8.54,2.01,0.04
18600,1.94,7,2030,42.05,-0.64,2.9,27.9,5.01,9.2,2.01,0.04
58000,1.62,7,2050,5.07,0.91,1.6,21.1,5.01,9.7,2.01,0.04
7663,11.1,5,2040,100.0,-5.56,1.4,16.7,5.01,9.04,2.01,0.04
31900,4.8,6,2050,100.0,-3.57,1.3,14.1,4.51,9.04,2.34,0.04
4322,3.76,6,2030,100.0,-10.7,1.3,28.5,4.51,8.54,2.01,0.04
331000,1.9,6,2030,6.17,0.89,2.0,15.9,4.01,10.530000000000001,2.34,2.02
6159,1.55,6,2025,5.36,0.44,1.9,20.3,4.01,8.54,2.01,0.04
12300,4.82,7,2035,4.09,0.81,3.8,17.4,5.01,9.7,2.01,0.04
27200,1.86,7,2040,100.0,-5.56,1.3,17.7,4.01,9.2,2.34,0.04
15246,6.72,7,2025,0.56,1.0,2.0,18.3,4.01,9.7,2.01,0.04
130000,3.44,5,2040,100.0,-5.56,2.7,8.1,4.51,7.04,1.51,0.04
10300,3.44,3,2030,17.98,0.53,3.6,24.4,5.01,7.54,2.01,0.04
4014,32.64,8,2027,0.73,0.99,1.6,23.8,5.01,9.54,2.01,0.04
11000,5.87,9,2030,14.82,0.1,1.6,21.2,5.01,8.04,2.01,0.04
67000,1.47,8,2040,100.0,-5.56,1.4,24.7,5.01,9.86,2.01,0.04
7900,7.49,5,2025,2.96,0.43,2.5,14.6,5.01,9.54,2.01,0.04
221000,9.38,6,2045,100.0,-3.79,1.4,15.4,5.01,10.030000000000001,2.34,0.04
39900,2.54,8,2035,99.96,-2.35,2.4,11.4,5.01,8.54,2.01,0.04
24,-6.25,1,2030,16.72,0.39,2.7,25.2,5.01,10.04,2.01,0.04
60000,-0.22,6,2025,3.87,-0.32,1.7,16.1,5.01,9.04,2.01,1.03
282200,3.08,5,2030,100.0,-12.5,1.6,14.1,4.51,10.86,2.01,0.04
3625,1.11,4,2040,100.0,-5.56,1.5,19.0,4.51,8.7,2.01,1.03
13360,2.95,5,2050,61.64,-1.76,2.1,20.7,4.51,9.7,2.01,0.04
3700,0.93,6,2033,10.68,0.94,1.6,15.4,4.01,8.04,2.01,0.04
500000,3.56,6,2035,46.71,-0.87,1.9,18.6,4.51,10.86,2.01,0.04
186000,1.48,7,2035,11.11,-7.14,1.4,21.8,4.51,10.04,2.01,3.01
114732,0.95,8,2030,100.0,-12.5,1.3,11.2,4.51,9.04,2.01,0.04
18000,2.56,7,2030,100.0,-10.2,1.3,22.4,5.01,9.36,2.01,0.04
23000,2.52,6,2030,96.12,-0.52,3.4,19.9,4.51,9.54,2.01,1.03
7800,5.05,5,2040,100.0,-5.56,3.1,17.8,5.01,8.54,2.01,1.03
100000,1.63,7,2030,65.99,0.25,1.8,17.8,4.34,10.36,1.51,0.04
13700,4.04,8,2050,100.0,-3.27,1.4,16.4,4.51,8.04,2.01,0.04
282200,3.08,5,2030,100.0,-12.5,1.6,14.1,4.51,10.86,2.01,0.04
11144,1.85,5,2030,36.58,-1.63,2.3,14.5,5.01,8.54,2.01,1.03
57400,1.84,7,2040,100.0,-5.56,1.3,9.3,5.01,8.04,2.01,0.04
1600,-0.54,4,2050,0.12,1.14,2.8,21.7,4.01,9.04,1.51,0.04
14900,5.81,7,2040,3.79,0.84,2.6,7.6,4.01,8.04,2.01,0.04
7800,5.05,5,2040,100.0,-5.56,3.1,17.8,5.01,8.54,2.01,1.03
347700,6.54,7,2050,100.0,-3.57,1.3,16.5,4.01,9.2,2.34,0.04
64088,4.05,7,2030,3.66,0.85,3.4,29.5,4.51,7.54,1.51,0.04
130000,3.44,5,2040,100.0,-5.56,2.7,8.1,4.51,7.04,1.51,0.04
35300,0.42,5,2030,10.7,-0.41,1.9,19.9,5.01,9.04,2.01,1.03
31700,1.85,5,2030,10.72,0.08,2.2,21.3,5.01,10.2,2.01,1.03
282200,3.08,5,2030,100.0,-12.5,1.6,14.1,4.51,10.86,2.01,0.04
5289,1.33,4,2025,62.35,-13.75,1.3,20.9,5.01,10.2,2.01,0.04
4667,1.45,6,2050,9.35,0.72,2.8,27.7,4.84,8.54,1.51,0.04
20000,-0.15,5,2030,91.31,-3.67,2.8,13.6,5.01,8.7,2.01,0.04
11144,1.85,5,2030,36.58,-1.63,2.3,14.5,5.01,8.54,2.01,1.03
17250,0.87,5,2050,84.62,-2.85,2.4,23.2,5.01,9.04,1.84,0.04
47000,3.16,9,2040,9.84,0.72,1.6,17.5,4.51,8.54,2.34,0.04
10250,2.81,5,2050,100.0,-3.57,1.6,15.0,5.01,9.54,2.01,1.03
72000,4.27,6,2050,81.73,-2.71,2.0,22.1,4.51,7.54,2.01,0.04
84900,3.35,8,2040,100.0,-5.56,1.8,13.9,4.01,9.530000000000001,2.01,1.03
282200,3.08,5,2030,100.0,-12.5,1.6,14.1,4.51,10.86,2.01,0.04
84900,3.35,8,2040,100.0,-5.56,1.8,13.9,4.01,9.530000000000001,2.01,1.03
282200,3.08,5,2030,100.0,-12.5,1.6,14.1,4.51,10.86,2.01,0.04
13948,4.54,6,2040,100.0,-5.56,1.4,14.1,4.51,8.54,2.01,0.04
18000,2.56,7,2030,100.0,-10.2,1.3,22.4,5.01,9.36,2.01,0.04
