employees,altman_score,piotroski_score,Decarbonization Target_Target Year,Decarbonization Target_Comprehensiveness,Decarbonization Target_Ambition p.a.,Temperature Goal,esg,Weapons,Gambling,Tobacco,Alcoholic,Environment,controversies_metric,sdg_metric
31900.0,4.8,6,2050,100.0,-3.57,1.3,14.1,0.0,0.0,0.0,0.0,0.0,11.0,3.0
4322.0,3.76,6,2030,100.0,-10.7,1.3,28.5,0.0,0.0,0.0,0.0,0.0,12.0,4.0
331000.0,1.9,6,2030,6.17,0.89,2.0,15.9,0.0,0.0,1.0,1.0,0.0,8.0,3.0
6159.0,1.55,6,2025,5.36,0.44,1.9,20.3,0.0,0.0,0.0,0.0,0.0,12.0,5.0
12300.0,4.82,7,2035,4.09,0.81,3.8,17.4,0.0,0.0,0.0,0.0,0.0,10.0,2.0
27200.0,1.86,7,2040,100.0,-5.56,1.3,17.7,0.0,0.0,0.0,0.0,0.0,9.0,5.0
15246.0,6.72,7,2025,0.56,1.0,2.0,18.3,0.0,0.0,0.0,0.0,0.0,10.0,4.0
130000.0,3.44,5,2040,100.0,-5.56,2.7,8.1,0.0,0.0,0.0,0.0,0.0,12.0,8.0
10300.0,3.44,3,2030,17.98,0.53,3.6,24.4,0.0,0.0,0.0,0.0,0.0,12.0,5.0
4014.0,32.64,8,2027,0.73,0.99,1.6,23.8,0.0,0.0,0.0,0.0,0.0,12.0,1.0
11000.0,5.87,9,2030,14.82,0.1,1.6,21.2,0.0,0.0,0.0,0.0,0.0,12.0,4.0
67000.0,1.47,8,2040,100.0,-5.56,1.4,24.7,0.0,0.0,0.0,0.0,0.0,8.0,3.0
7900.0,7.49,5,2025,2.96,0.43,2.5,14.6,0.0,0.0,0.0,0.0,0.0,12.0,1.0
221000.0,9.38,6,2045,100.0,-3.79,1.4,15.4,0.0,0.0,0.0,0.0,0.0,8.0,2.0
39900.0,2.54,8,2035,99.96,-2.35,2.4,11.4,0.0,0.0,0.0,0.0,0.0,12.0,3.0
24.0,-6.25,1,2030,16.72,0.39,2.7,25.2,0.0,0.0,0.0,0.0,0.0,12.0,0.0
60000.0,-0.22,6,2025,3.87,-0.32,1.7,16.1,0.0,1.0,0.0,0.0,0.0,12.0,2.0
282200.0,3.08,5,2030,100.0,-12.5,1.6,14.1,0.0,0.0,0.0,0.0,0.0,8.0,2.0
3625.0,1.11,4,2040,100.0,-5.56,1.5,19.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0
13360.0,2.95,5,2050,61.64,-1.76,2.1,20.7,0.0,0.0,0.0,0.0,0.0,10.0,3.0
3700.0,0.93,6,2033,10.68,0.94,1.6,15.4,0.0,0.0,0.0,0.0,0.0,12.0,6.0
500000.0,3.56,6,2035,46.71,-0.87,1.9,18.6,0.0,0.0,0.0,0.0,0.0,8.0,2.0
186000.0,1.48,7,2035,11.11,-7.14,1.4,21.8,0.0,1.0,1.0,1.0,0.0,12.0,1.0
114732.0,0.95,8,2030,100.0,-12.5,1.3,11.2,0.0,0.0,0.0,0.0,0.0,12.0,3.0
18000.0,2.56,7,2030,100.0,-10.2,1.3,22.4,0.0,0.0,0.0,0.0,0.0,8.0,4.0
23000.0,2.52,6,2030,96.12,-0.52,3.4,19.9,0.0,0.0,0.0,1.0,0.0,12.0,2.0
7800.0,5.05,5,2040,100.0,-5.56,3.1,17.8,0.0,0.0,0.0,1.0,0.0,12.0,3.0
100000.0,1.63,7,2030,65.99,0.25,1.8,17.8,0.0,0.0,0.0,0.0,0.0,7.0,5.0
13700.0,4.04,8,2050,100.0,-3.27,1.4,16.4,0.0,0.0,0.0,0.0,0.0,12.0,5.0
282200.0,3.08,5,2030,100.0,-12.5,1.6,14.1,0.0,0.0,0.0,0.0,0.0,8.0,2.0
11144.0,1.85,5,2030,36.58,-1.63,2.3,14.5,0.0,1.0,0.0,0.0,0.0,12.0,3.0
57400.0,1.84,7,2040,100.0,-5.56,1.3,9.3,0.0,0.0,0.0,0.0,0.0,12.0,4.0
1600.0,-0.54,4,2050,0.12,1.14,2.8,21.7,0.0,0.0,0.0,0.0,0.0,12.0,5.0
14900.0,5.81,7,2040,3.79,0.84,2.6,7.6,0.0,0.0,0.0,0.0,0.0,12.0,6.0
7800.0,5.05,5,2040,100.0,-5.56,3.1,17.8,0.0,0.0,0.0,1.0,0.0,12.0,3.0
347700.0,6.54,7,2050,100.0,-3.57,1.3,16.5,0.0,0.0,0.0,0.0,0.0,9.0,5.0
64088.0,4.05,7,2030,3.66,0.85,3.4,29.5,0.0,0.0,0.0,0.0,0.0,12.0,7.0
130000.0,3.44,5,2040,100.0,-5.56,2.7,8.1,0.0,0.0,0.0,0.0,0.0,12.0,8.0
35300.0,0.42,5,2030,10.7,-0.41,1.9,19.9,0.0,0.0,0.0,1.0,0.0,12.0,2.0
31700.0,1.85,5,2030,10.72,0.08,2.2,21.3,0.0,0.0,0.0,1.0,0.0,10.0,1.0
282200.0,3.08,5,2030,100.0,-12.5,1.6,14.1,0.0,0.0,0.0,0.0,0.0,8.0,2.0
